prov,year,covid,location,region,prov_istat,log_buy_min,log_buy_max,log_buy_avg,population,reg_age_avg,over65,log_median_income,dwellings,prov_immigration,prov_emigration,prov_net_movements,log_real_gdp,log_nominal_gdp,unemployment_prov,ratio_hotel_beds,ratio_hotel_mun,ratio_str_beds,ratio_str_mun,ratio_str_mun_beds,ratio_arrivals,ratio_arrivals_foreigners,tourism_score,log_tour_employed,log_population
AG,2014,0,I,Sicilia,084,6.276119501726456,6.626813299096182,6.45146640041132,2827633.0,41.6088795814772,0.19023157390657078,9.277505801220869,2022535.0,35.05595794270293,38.28273512599016,-0.03617771331461992,14.253499052044916,14.29871461443681,25.5,47.03957268576162,3.3241500460083673,4.071624651161339,0.05606130917138963,0.6294479443551427,64.19773195581884,27.348860690698892,-0.21756199081025776,14.501416080901258,14.854950523885611
AG,2015,0,I,Sicilia,084,6.252530945929947,6.599764217811399,6.426147581870673,3113968.0,42.62135095403836,0.2032806754613541,9.266544648081226,2251512.0,35.73130220939255,38.97662231831904,-0.03683864429322383,14.253485175775594,14.307685758791632,26.2,42.71402778823196,2.8714741110764725,4.186864314465829,0.05064108852124281,0.5770322297686457,57.04581824864016,23.64636423211759,-0.2544429138481694,14.51600418716716,14.951408355151155
AG,2016,0,I,Sicilia,084,6.22767643401377,6.571661763212155,6.3996690986129625,3102862.0,42.74720391116313,0.20844158497539705,9.266924473111397,2261260.0,34.16895858727849,40.82718512731046,-0.0762784131885349,14.262302861817256,14.324300731606444,24.3,42.195436154550904,2.851113731142974,4.885644740859268,0.05493727466418822,0.5933033687704293,58.56241600343299,22.95046345729356,-0.20515809667377838,14.57109013709187,14.947835469351002
AG,2017,0,I,Sicilia,084,6.200750585472771,6.553014470553615,6.376882528013193,3571507.0,42.69233994157196,0.20769644867492135,9.29699040306393,2605233.0,33.30181276247037,43.74302782979342,-0.11823258662378473,14.274589284506764,14.348991618246794,23.0,41.31399793853955,2.8933531653888007,5.489366535235174,0.05701686623225606,0.6028309020395312,64.00224340250605,27.005220579652885,-0.10740217777921066,14.615952632066216,15.088498193536044
AG,2018,0,I,Sicilia,084,6.193494465870167,6.5425352686270895,6.368014867248628,3542223.0,43.77377781654883,0.21846025858873333,9.305179422919485,2608811.0,33.004553668195584,44.45511310410018,-0.1317387593996389,14.290499049859632,14.37197452698985,27.6,40.39432640261255,2.930189341240861,7.332674357219133,0.060847832627952195,0.6402819696852539,63.899039488791175,26.575186015670138,-0.0859831591020367,14.609780537731918,15.080265054123446
AG,2019,0,I,Sicilia,084,6.173251781446996,6.523481334686928,6.348366558066961,3529636.0,43.338953058870395,0.23105349728161415,9.326451532469063,2626238.0,34.88044708722514,45.569218204541826,-0.12421749493712499,14.298731536878893,14.390855927691584,23.6,37.475828900854424,2.8494691100586698,7.914947601857875,0.06852794262290375,0.6964602605793837,76.04025944780103,32.483190823202555,-0.07100069095626191,14.631583527526258,15.076705307445335
AG,2020,1,I,Sicilia,084,6.155843907805664,6.502603043013179,6.329223475409422,3393816.0,43.75610535814634,0.21987776925390745,9.332383869691704,2562494.0,34.88591587186838,53.36504656169957,-0.22050716778504842,14.303013979455953,14.405554007743987,22.0,33.56339052294149,2.6828714530278748,9.89214390167547,0.06969154723974716,0.6901222905963815,33.85953565652293,5.076591872891293,-0.15205121674044061,14.491113229758247,15.037465509989094
AG,2021,1,I,Sicilia,084,6.124297591853738,6.467463888527634,6.295880740190686,3341348.0,43.97324815956593,0.23138952884351685,9.330298478040335,2562494.0,35.79807587942433,48.078719405813466,-0.14979709735887936,14.210150370913528,14.328341310116052,21.8,36.328456723368014,2.7879065984230254,8.952258313949068,0.0713383957974538,0.7325989565184805,52.21304432298584,10.098338678397331,-0.05814989435669202,14.452257213884272,15.021884876345581
AG,2022,1,I,Sicilia,084,6.095208640973295,6.457383888211916,6.276296264592606,3341779.0,44.89178061665652,0.23388719420689114,9.376046926303983,2562494.0,39.648058054937245,45.42750470982176,-0.07064604526789835,14.295695409344063,14.426637919319788,19.3,35.395541527332554,2.7751024706589136,10.95090832312792,0.08152763287023225,0.781325772989971,78.83639203536742,25.206256027554616,0.026164420214576628,14.588913808049881,15.022013857883893
AG,2023,1,I,Sicilia,084,6.083426838472686,6.45946946618172,6.271448152327203,3322186.0,44.196541622216394,0.23024327249487975,9.442036113245546,2562494.0,43.573907431076606,48.89685635021381,-0.06550057211870984,14.342781042569822,14.507693573866822,16.2,34.47840219315601,2.7487828099409533,12.206716529102078,0.09685381312723912,0.9453787566135585,88.1645126716903,33.109336267723656,0.09295017102672437,14.645884731497906,15.016133557955223
