year,prov,covid,location,region,prov_istat,log_buy_min,log_buy_max,log_buy_avg,population,reg_age_avg,over65,log_median_income,dwellings,prov_immigration,prov_emigration,prov_net_movements,log_real_gdp,log_nominal_gdp,unemployment_prov,ratio_hotel_beds,ratio_hotel_mun,ratio_str_beds,ratio_str_mun,ratio_str_mun_beds,ratio_arrivals,ratio_arrivals_foreigners,tourism_score,log_tour_employed,log_population,log_prov_immigration,log_prov_emigration,log_reg_age_avg
2014,AG,0,I,Sicilia,084,6.1909568117061085,6.546832873774482,6.368894842740295,3010606.0,41.6088795814772,0.19023157390657078,9.24719985765232,2188349.0,78.04131520854475,85.22474279253055,-0.27463666491770317,14.253499052044916,14.29871461443681,25.5,37.07215551520575,2.4772443499699026,6.9938913360386925,0.04649207248722648,0.5568195709983362,51.46014669232307,21.64081330108456,-0.2650008115512239,14.501416080901258,7.918992488165245,6.905076293411525,6.567961374520251,3.7283135959675096
2014,AL,0,NW,Piemonte,006,6.613959705445869,6.833639105388553,6.7237994054172106,2398000.0,45.25439052467581,0.25013651471552084,9.69743363947106,1519503.0,1280.2756048822703,938.1969946299653,133.89235564585832,14.253499052044917,14.29871461443681,13.4,23.802781907781544,1.4649033205902287,8.95290681794004,0.040765327439165416,0.3335503834004613,35.60739190176535,13.527474002171155,-0.41843427517407494,14.501416080901258,7.918992488165245,6.905076293411525,6.567961374520251,3.812299693608638
2014,AN,0,C,Marche,042,6.780770144350124,7.12832432032728,6.954547232338702,6289393.0,44.332707722927786,0.23035649672336647,9.705393734534947,3430349.0,145.5244928652962,127.51735971261242,0.9147073736680685,14.253499052044916,14.298714614436811,10.4,31.301399928829284,3.7048276729127196,6.424871257438378,0.07459286363842495,3.1398909476686145,176.9785753967256,29.092973682951538,0.1411170011376913,14.501416080901258,7.918992488165245,6.905076293411525,6.567961374520251,3.7917227279411687
2014,AO,0,NW,Valle D'Aosta,007,7.261852750342114,7.5450746838582194,7.403463717100167,1370070.0,61.968029269278425,0.5624019527033135,9.794582355348027,1237223.0,299.3216065214409,211.4873785931929,37.78383184989319,14.253499052044916,14.29871461443681,8.9,42.10523280968795,39.05329451469519,9.049188691487023,0.1545115163423046,4.641107622941697,1599.372000548372,568.6099763460704,0.8910749045277656,14.50141608090126,7.9017475185201445,6.857260979407397,6.5898803788277,4.1266185951012035
2014,AP,0,C,Marche,044,6.812365233881664,7.068255603376014,6.9403104186288385,4187433.0,44.326515128481255,0.23040007693107245,9.534109113881003,2305323.0,92.92568976261371,78.16146263723672,1.0587727287742201,14.253499052044916,14.29871461443681,11.9,37.434549573133765,4.39821785758682,5.320663807414901,0.04951096518629053,0.8977913158929104,100.56075293644561,16.10500626126845,0.05824940737046,14.501416080901258,7.9017475185201445,6.857260979407397,6.5898803788277,3.791583033631712
2014,AQ,0,S,Abruzzo,066,6.403260257881991,6.7802642569705815,6.591762257426287,2872374.0,44.230501271848574,0.21360228983313415,9.438167350673988,2304072.0,797.9290857609544,662.0358231778794,55.667981289779,14.253499052044916,14.298714614436811,13.9,34.04806422204595,8.228607828741117,17.6437920679068,0.08197974454568177,1.837202550342064,193.22804557915208,16.937401050533076,-0.09762335250245024,14.50141608090126,7.9017475185201445,6.857260979407397,6.5898803788277,3.7894146251157785
2014,AR,0,C,Toscana,051,6.955505247689451,7.2522765738177535,7.103890910753602,3997361.0,44.77960662215242,0.22721145840058513,9.69396189259935,2100080.0,133.39401456593498,102.85739156395948,2.3862503532153774,14.253499052044916,14.29871461443681,9.3,33.24814797550895,3.1918932756561453,18.69920189152483,0.17153098841153935,1.523218083820507,101.6025938881048,42.06182370539654,0.4960161759839773,14.501416080901258,7.8804263442924,6.876501895000288,6.616862814152116,3.801752826454766
2014,AT,0,NW,Piemonte,005,6.411424845984551,6.77681417534027,6.59411951066241,2073975.0,45.25439052467581,0.25013651471552084,9.629294837698671,1221259.0,667.6061534394878,568.4142379346345,33.0201836439501,14.253499052044916,14.29871461443681,10.5,15.094034355644489,1.1280679018067166,16.41865741724943,0.08648512689694109,0.6656693761708818,43.27880397961704,21.238833582929868,-0.22872479366702925,14.501416080901258,7.8804263442924,6.876501895000288,6.616862814152116,3.812299693608638
2014,AV,0,S,Campania,064,6.4444855171872915,6.603379016607736,6.523932266897514,9687754.0,40.16930351691652,0.14954978396327348,9.329951209850144,5431226.0,228.0696310017917,249.95835946137603,-2.0504159468299337,14.253499052044916,14.29871461443681,16.8,30.171452437416637,0.9973419684639148,7.251835634599778,0.022365888915689466,0.13197399514995778,10.916697576774002,2.613424380972845,-0.5309195544381556,14.501416080901258,7.8804263442924,6.876501895000288,6.616862814152116,3.693103109831945
2014,BA,0,S,Puglia,072,6.906899529849821,7.222101244373967,7.064500387111894,12611190.0,41.913564771212435,0.20262077920134727,9.458635058580924,6470978.0,55.584710839183025,60.086072114651195,-0.08346384745403672,14.253499052044917,14.298714614436811,20.4,44.047562257237104,1.3984871063070812,5.994898408864707,0.018719102303289527,0.13819196589738186,68.05423442130589,21.543999285549273,-0.13193925265642426,14.501416080901258,7.8868329989550565,6.949942204018495,6.627964324562119,3.735609516091485
