prov,year,covid,location,region,prov_istat,log_buy_min,log_buy_max,log_buy_avg,population,reg_age_avg,over65,log_median_income,dwellings,prov_immigration,prov_emigration,prov_net_movements,log_real_gdp,log_nominal_gdp,unemployment_prov,ratio_hotel_beds,ratio_hotel_mun,ratio_str_beds,ratio_str_mun,ratio_str_mun_beds,ratio_arrivals,ratio_arrivals_foreigners,tourism_score,log_tour_employed,log_population,growth_log_buy_min,growth_log_buy_max,growth_log_buy_avg,growth_log_nominal_gdp,growth_log_median_income,growth_log_population
FC,2016,0,NE,Emilia Romagna,040,7.2072737041003,7.44178668720569,7.324530195652995,4291089.0,46.91869890567379,0.2718688824740246,9.733177065081982,2218289.0,46.86083980201364,36.96350725762283,0.11519964631117278,14.262302861817254,14.324300731606444,7.5,50.21955642778357,14.502555534130272,7.362307325788821,0.3340555937165781,1.161868458812273,398.9554703314778,63.70189588831423,0.4937543853175842,14.57109013709187,15.272051104844563,-0.006661781175378856,-0.01425944126112455,-0.010460611218251259,0.01661497281481239,0.02105961755415997,0.03519424603485888
FC,2017,0,NE,Emilia Romagna,040,7.200810136943427,7.427229205902587,7.314019671423007,4300465.0,45.39548356991194,0.24311235269202672,9.74552206011984,2222978.0,50.932093593867236,35.549350424129706,0.17983843287476245,14.274589284506764,14.348991618246792,7.0,49.056874603459434,13.577864496276128,9.953075378409627,0.400516017228494,1.2034218675089439,417.03236062089684,64.60643502544282,0.4758403557314351,14.615952632066215,15.274233714352016,-0.006463567156872685,-0.014557481303103081,-0.010510524229988327,0.024690886640348353,0.012344995037857132,0.0021826095074537477
FC,2018,0,NE,Emilia Romagna,040,7.192956678898249,7.418271693249091,7.30561418607367,4309434.0,45.80809694420328,0.24886364470096234,9.750006498060909,2222978.0,57.88235120393074,35.366446086652175,0.26373222556051223,14.290499049859632,14.371974526989852,4.8,48.66198430942451,13.561822216348965,10.571756666614942,0.41086096409915523,1.2569186356658968,421.171070965733,64.06114678962247,0.4607988463828993,14.609780537731918,15.276317130950575,-0.007853458045177675,-0.008957512653496202,-0.008405485349337383,0.022982908743060193,0.0044844379410697854,0.0020834165985590403
FC,2019,0,NE,Emilia Romagna,040,7.183059254495774,7.405793501050372,7.294426377773074,4341898.0,45.57860644980555,0.23634173735933547,9.777333991231004,2227667.0,58.136250541338335,34.687962822998536,0.27383482890199173,14.298731536878893,14.390855927691584,5.5,47.90990405948184,13.51132700313435,9.902867820654611,0.41443259881321387,1.2778010367964343,421.27203957810724,62.1041753216838,0.46348355677359093,14.631583527526258,15.283822137665863,-0.00989742440247543,-0.01247819219871893,-0.011187808300595847,0.01888140070173172,0.02732749317009464,0.007505006715287976
FC,2020,1,NE,Emilia Romagna,040,7.1775513787613034,7.397579894938219,7.287565636849761,4342845.0,45.93455298187041,0.22835420416460775,9.792837533640093,2227667.0,62.138194120386636,39.19460155450324,0.2685863773346354,14.303013979455951,14.405554007743989,5.3,46.6938759403479,12.876536385762456,11.149729382098117,0.3305789214937552,1.138335112907546,250.8087410444315,18.158290919621034,0.38563647702042986,14.491113229758247,15.284040221264597,-0.005507875734470424,-0.008213606112152938,-0.006860740923312569,0.014698080052404805,0.015503542409089022,0.00021808359873354277
FC,2021,1,NE,Emilia Romagna,040,7.174724713028592,7.39133799053203,7.283031351780311,4312936.0,45.530902463034984,0.2245318350724371,9.783970120194475,2227667.0,53.328534003695374,35.105973910252104,0.2151678244533045,14.210150370913528,14.328341310116052,5.5,46.19291505757762,13.30123862647227,11.77178870494715,0.38724084902740713,1.2380563739205843,351.2334002104587,36.55462514231748,0.4949534520478727,14.452257213884272,15.277129436660621,-0.0028266657327113975,-0.006241904406189214,-0.004534285069450306,-0.07721269762793703,-0.0088674134456177,-0.0069107846039759835
FC,2022,1,NE,Emilia Romagna,040,7.173392372469267,7.389803563692801,7.2815979680810345,4295220.0,45.21694193113748,0.2245251309839649,9.822010179580568,2227667.0,59.41357385119319,38.730668293468916,0.24387808308829628,14.295695409344063,14.426637919319788,4.1,45.71487641875067,12.999642770495562,12.172165130449462,0.43185837632316065,1.3890972178380803,429.09471673785305,59.633727346417594,0.547018042352078,14.588913808049881,15.273013334440245,-0.0013323405593252957,-0.0015344268392292193,-0.0014333836992763693,0.09829660920373584,0.038040059386093006,-0.00411610222037595
FC,2023,1,NE,Emilia Romagna,040,7.172918666567908,7.394361709719225,7.283640188143566,4297520.0,48.628550905757784,0.2633690663352165,9.866653488497466,2227667.0,65.44104631876681,39.42689927380178,0.3058492457792627,14.342781042569822,14.507693573866824,5.2,45.383163886979624,12.96667728291578,12.965936312026665,0.46210721671193156,1.4500710877324607,428.9840205928357,61.08046931654183,0.5691848535344441,14.645884731497906,15.27354867009684,-0.0004737059013590894,0.004558146026424126,0.002042220062531186,0.08105565454703623,0.04464330891689805,0.0005353356565951373
FC,2024,1,NE,Emilia Romagna,040,7.188062796911245,7.41246588465456,7.300264340782903,5186199.0,46.00157687813727,0.2382610638505664,9.936473668105107,2692638.0,60.332816682616325,33.915838032339344,0.3035777424971761,14.352490699316046,14.577531396238824,3.4000000000000004,45.80651253915234,13.940678522537134,12.5246256095386,0.49754855838255174,1.5666116482269674,466.1093205782745,71.51930025358897,0.5912995404831409,14.657415865352215,15.461511616885998,0.015144130343337281,0.01810417493533567,0.01662415263933692,0.06983782237199954,0.06982017960764075,0.18796294678915793
FE,2015,0,NE,Emilia Romagna,038,6.636524030989983,6.962927014216363,6.799725522603173,4511366.0,45.17727986968235,0.23894167032140842,9.726195806391353,2913332.0,48.39043198094976,34.48694631492724,0.1449954982111417,14.253485175775596,14.307685758791632,12.3,39.31575478807872,1.953441639229938,14.797085520741922,0.051818155751785125,4.198520160089978,141.1481825633,43.97089655337882,0.15054506375499563,14.516004187167162,15.322110548102591,-0.05756180450195458,-0.041354765838666374,-0.049458285170310035,0.008971144354822158,0.017099589529706805,-0.012408930088414039
FE,2016,0,NE,Emilia Romagna,038,6.634209051744847,6.961045302145328,6.797627176945087,4484493.0,46.91869890567379,0.2718688824740246,9.74303557851381,2913332.0,44.19899067297722,36.75276821833062,0.07868457348865336,14.262302861817252,14.324300731606444,10.6,37.454755973098564,1.895676356135072,14.806720625128621,0.05791787104783832,5.456200507451811,145.94610243571097,44.98949258977194,0.15258088515637022,14.57109013709187,15.316136003606877,-0.0023149792451357953,-0.0018817120710350466,-0.002098345658085421,0.01661497281481239,0.016839772122457575,-0.00597454449571444
FE,2017,0,NE,Emilia Romagna,038,6.626863743640986,6.952082774128279,6.789473258884633,4582042.0,45.39548356991194,0.2431123526920267,9.75593050189188,2991152.0,43.8831368604599,39.823145913698376,0.043353750552022674,14.274589284506764,14.34899161824679,9.5,38.34510665107387,1.9321184895807821,15.25951005614515,0.6715670895081994,5.733649879863612,156.5560435817974,49.95014652451849,0.1596759776335352,14.615952632066213,15.337655308256492,-0.007345308103860582,-0.00896252801704911,-0.008153918060454401,0.024690886640346577,0.012894923378070189,0.02151930464961538
FE,2018,0,NE,Emilia Romagna,038,6.617330237793204,6.942232799157989,6.7797815184755965,4575174.0,45.80809694420328,0.24886364470096234,9.756745154686532,2991152.0,56.529487857976456,38.74065789236538,0.19211508967869284,14.290499049859633,14.371974526989852,9.1,40.52473149920656,2.009549891575471,15.837932622338645,0.6485321254615194,5.509167044518739,155.70436182727894,50.22312591149405,0.1698626218203443,14.609780537731918,15.336155288755416,-0.009533505847782564,-0.009849974970289388,-0.00969174040903642,0.02298290874306197,0.0008146527946522042,-0.0015000195010763662
