mun_istat,year,mun_name,covid,region,prov_istat,log_buy_min,log_buy_max,log_buy_avg,population,reg_age_avg,over65,log_median_income,dwellings,prov_immigration,prov_emigration,prov_net_movements,log_real_gdp,cpi,homicides,unemployment_prov,birth_rate,life,ratio_hotel_beds,ratio_hotel_mun,ratio_str_beds,ratio_str_mun,ratio_str_mun_beds,ratio_arrivals,ratio_arrivals_foreigners,tourism_score,log_population
001156,2014,MONCALIERI,0,Piemonte,001,7.325829125264685,7.681619644159026,7.503724384711856,57057.0,45.254390524675806,0.25013651471552084,9.858630626106716,30137.0,47.985347985347985,34.23944476576056,0.02409152815533138,12.86767259135136,99.68992416666667,0.827647127,12.9,8.5,82.690243902439,83.93442622950819,1.3460223986539777,10.163934426229508,0.016590901549590205,0.16299489983700508,80.65092801934908,5.108926161557741,0.16081484147748326,10.951806047149772
001156,2015,MONCALIERI,0,Piemonte,001,7.247660364363745,7.603400367466735,7.4255303659152405,57054.0,45.94846739889146,0.2545785094413764,9.877452222375794,30137.0,44.96266694710274,34.4024958810951,0.018509080986447306,12.868424930825272,99.93022416666668,0.782999237,11.9,8.3,83.09024390243901,83.29718004338395,1.3460931748869491,10.086767895878525,0.016590901549590205,0.1630034703964665,84.32712868510534,10.553160164055106,0.2028428979226778,10.9517534667675
001156,2016,MONCALIERI,0,Piemonte,001,7.208004034238103,7.55835154649632,7.383177790367212,57171.0,46.33253327992292,0.2524227468308138,9.892080447918135,30137.0,44.77794686117087,34.52799496248098,0.01792858599410522,12.875853446164294,99.96898750000001,0.774242763,10.4,8.1,82.5439024390244,83.47639484978541,1.3608297913277714,9.97854077253219,0.016590901549590205,0.16266988508159733,101.81210753703802,10.585786500148677,0.21900734745595854,10.953802055796485
001156,2017,MONCALIERI,0,Piemonte,001,7.16894020960425,7.519356410633052,7.34414831011865,57165.0,46.24480946738219,0.24563717982495153,9.902382795855774,30137.0,48.50870287763492,35.14213242368582,0.023382437599840978,12.889307801378262,99.875,0.668010321,9.4,7.9,83.2439024390244,81.98103266596415,1.3609726231085453,10.95890410958904,0.019909081859508244,0.18192950231785185,105.0607889442841,17.741625120265898,0.2690158543781373,10.95369710197607
001156,2018,MONCALIERI,0,Piemonte,001,7.136767731555061,7.5041289908614255,7.320448361208244,56777.0,46.87897833904086,0.258213347142958,9.90542947897623,30137.0,49.86173978899907,34.80810891734329,0.026513607396755335,12.906085515711624,101.10000000000001,0.62261636,9.2,7.6,82.9463414634147,81.1804008908686,1.283970621906758,11.581291759465481,0.019909081859508244,0.18317276361907112,86.58259506490306,18.917871673388873,0.25194179672475614,10.946886593125658
001156,2019,MONCALIERI,0,Piemonte,001,7.117604044410214,7.50162336270851,7.3096137035593625,56964.0,46.017801695720514,0.2702130467227311,9.927411188631506,30137.0,45.23032090443087,34.57271259040798,0.018709374892955006,12.912877077321394,102.25,0.595578796,8.3,7.3,83.34634146341462,82.0945945945946,1.2797556351379822,11.711711711711711,0.019909081859508244,0.18257144863422511,68.30278772558107,18.255389368724106,0.22978431521637374,10.950174768339318
001156,2020,MONCALIERI,1,Piemonte,001,7.093211180579833,7.491687170248641,7.292449175414236,56737.0,47.05912620620524,0.2704506587564488,9.938174120278982,30137.0,54.41598956589174,35.842571866683116,0.032735988330734135,12.917052192618227,102.875,0.527189894,8.3,7.0,83.4975609756098,70.72727272727273,1.371239226606976,8.727272727272728,0.016590901549590205,0.16920175546821298,31.330525054197437,5.758147240777623,0.10541298584924208,10.94618183421212
001156,2021,MONCALIERI,1,Piemonte,001,7.091350714183376,7.485301088241209,7.288325901212292,56319.0,46.25983196219524,0.24731558696791553,9.920921179928856,30137.0,45.78738969086809,36.99106873346473,0.015618744930491238,12.823268425095806,102.73333333333333,0.47569158400000006,8.3,6.8,82.19512195121949,70.53490480507706,1.381416573447682,8.703535811423391,0.016590901549590205,0.17045757204495818,50.643654894440594,11.305243345940093,0.1738971129959969,10.938787234992471
001156,2022,MONCALIERI,1,Piemonte,001,7.097415214237691,7.490440199282204,7.2939277067599475,56193.0,47.645255061632916,0.24882389797948257,9.967238252954337,30137.0,45.95056323741391,38.291246240634955,0.013630375663835273,12.907639034878864,104.65833333333335,0.507288293,7.4,6.8,82.6463414634146,70.0750469043152,1.329347071699322,9.00562851782364,0.016590901549590205,0.17083978431477234,99.33087751143383,23.72003630345417,0.26971271640737815,10.936547472964001
001156,2023,MONCALIERI,1,Piemonte,001,7.0932630888549895,7.49244516683318,7.292854127844086,56073.0,47.402080279373415,0.2724641834421395,10.019128932839175,30137.0,56.80452267579762,39.39150749915289,0.031054188605290838,12.95615807333407,113.24166666666667,0.540095241,7.0,6.7,82.7,65.28835690968444,1.0700337060617409,10.44613710554951,0.016590901549590205,0.17120539296987855,94.67658231234284,28.446846075651383,0.2555244108945745,10.934409692234288
001156,2024,MONCALIERI,1,Piemonte,001,7.08428508728114,7.484182650287559,7.28423386878435,55751.0,47.94899349206493,0.2893425599259937,10.09008070871359,30137.0,68.0220982583272,39.79659557676096,0.05062779623964816,12.966840448140005,119.60833333333333,0.568072449,6.3,6.4,83.7,70.20676691729322,1.3398862800667253,9.21052631578947,0.019909081859508244,0.17578160033003892,98.20810389051317,30.917831070294703,0.29657458142819654,10.928650626381225
001272,2014,TORINO,0,Piemonte,001,7.477557232986825,7.817395140036861,7.647476186511843,892395.0,45.25439052467581,0.25013651471552084,9.839831156308069,502615.0,3.0680360154415927,2.1891651118618998,9.848451678681445e-05,12.867672591351358,99.68992416666667,0.827647127,12.9,8.5,82.690243902439,66.90776649225403,1.4615725099311405,10.84949215143121,0.016911552580006567,0.2370026725833291,125.13584231198067,25.922265364552693,0.3238660763278529,13.701664138656149
